12
0.0	18.03	17.03	5.0	15.65	16.03	22.47	15.62	18.0	9.22	25.0	19.1	
18.03	0.0	15.65	15.81	3.16	11.05	4.47	20.22	10.44	10.0	14.14	12.65	
17.03	15.65	0.0	12.04	16.4	23.43	18.68	29.15	24.04	17.0	29.41	26.17	
5.0	15.81	12.04	0.0	14.14	17.09	20.25	19.21	18.68	9.49	25.5	20.25	
15.65	3.16	16.4	14.14	0.0	8.25	7.07	17.12	8.06	7.07	13.04	10.3	
16.03	11.05	23.43	17.09	8.25	0.0	13.34	9.85	2.24	7.62	9.06	3.16	
22.47	4.47	18.68	20.25	7.07	13.34	0.0	23.09	12.04	14.14	13.42	14.0	
15.62	20.22	29.15	19.21	17.12	9.85	23.09	0.0	11.66	12.37	16.4	10.63	
18.0	10.44	24.04	18.68	8.06	2.24	12.04	11.66	0.0	9.22	7.0	2.24	
9.22	10.0	17.0	9.49	7.07	7.62	14.14	12.37	9.22	0.0	16.12	10.77	
25.0	14.14	29.41	25.5	13.04	9.06	13.42	16.4	7.0	16.12	0.0	6.32	
19.1	12.65	26.17	20.25	10.3	3.16	14.0	10.63	2.24	10.77	6.32	0.0	
