11
0.0	26.25	2.83	6.4	26.17	10.3	16.28	27.29	6.4	28.43	26.4	
26.25	0.0	26.63	20.0	20.88	24.6	23.02	5.66	27.2	2.24	5.66	
2.83	26.63	0.0	6.71	28.44	13.04	14.04	28.23	9.22	28.84	26.17	
6.4	20.0	6.71	0.0	23.41	11.18	13.04	21.54	10.0	22.2	20.0	
26.17	20.88	28.44	23.41	0.0	17.12	34.67	16.12	22.09	21.38	26.0	
10.3	24.6	13.04	11.18	17.12	0.0	24.19	23.43	5.0	26.42	26.93	
16.28	23.02	14.04	13.04	34.67	24.19	0.0	27.17	22.14	25.08	19.65	
27.29	5.66	28.23	21.54	16.12	23.43	27.17	0.0	26.91	5.39	11.31	
6.4	27.2	9.22	10.0	22.09	5.0	22.14	26.91	0.0	29.21	28.64	
28.43	2.24	28.84	22.2	21.38	26.42	25.08	5.39	29.21	0.0	6.71	
26.4	5.66	26.17	20.0	26.0	26.93	19.65	11.31	28.64	6.71	0.0	
