10
0.0	25.08	11.66	10.2	6.71	24.33	7.62	14.56	11.7	9.22	
25.08	0.0	15.52	29.55	22.36	6.08	18.68	11.18	31.78	29.15	
11.66	15.52	0.0	20.0	7.0	17.2	9.49	4.47	22.02	19.21	
10.2	29.55	20.0	0.0	16.76	26.68	11.4	21.26	2.24	1.0	
6.71	22.36	7.0	16.76	0.0	23.26	9.85	11.18	18.38	15.81	
24.33	6.08	17.2	26.68	23.26	0.0	17.03	12.81	28.86	26.48	
7.62	18.68	9.49	11.4	9.85	17.03	0.0	9.9	13.6	10.82	
14.56	11.18	4.47	21.26	11.18	12.81	9.9	0.0	23.43	20.62	
11.7	31.78	22.02	2.24	18.38	28.86	13.6	23.43	0.0	2.83	
9.22	29.15	19.21	1.0	15.81	26.48	10.82	20.62	2.83	0.0	
