11
0.0	12.21	21.47	13.42	5.66	13.6	14.14	8.06	20.4	14.04	14.87	
12.21	0.0	9.49	16.76	12.53	4.47	17.0	19.7	10.44	13.04	21.59	
21.47	9.49	0.0	25.08	20.52	11.05	21.93	29.15	6.08	20.4	27.78	
13.42	16.76	25.08	0.0	18.87	14.04	27.2	13.15	27.2	5.39	28.23	
5.66	12.53	20.52	18.87	0.0	15.52	8.49	12.37	17.89	18.68	10.05	
13.6	4.47	11.05	14.04	15.52	0.0	21.1	20.0	13.89	9.49	25.18	
14.14	17.0	21.93	27.2	8.49	21.1	0.0	20.12	17.2	26.4	6.4	
8.06	19.7	29.15	13.15	12.37	20.0	20.12	0.0	28.44	16.55	18.38	
20.4	10.44	6.08	27.2	17.89	13.89	17.2	28.44	0.0	23.26	23.43	
14.04	13.04	20.4	5.39	18.68	9.49	26.4	16.55	23.26	0.0	28.64	
14.87	21.59	27.78	28.23	10.05	25.18	6.4	18.38	23.43	28.64	0.0	
